"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
1.822 nsec,7.876 fV
1.827 nsec,7.980 fV
1.832 nsec,8.021 fV
1.837 nsec,7.912 fV
1.842 nsec,7.993 fV
1.847 nsec,8.545 fV
1.852 nsec,9.151 fV
1.857 nsec,9.731 fV
1.862 nsec,9.845 fV
1.867 nsec,9.250 fV
1.872 nsec,8.722 fV
1.877 nsec,8.959 fV
1.882 nsec,8.908 fV
1.887 nsec,7.629 fV
1.892 nsec,5.940 fV
1.897 nsec,4.767 fV
1.902 nsec,3.906 fV
1.907 nsec,2.996 fV
1.912 nsec,1.856 fV
1.917 nsec,708.8 aV
1.922 nsec,-233.3 aV
1.927 nsec,-1.032 fV
1.932 nsec,-1.837 fV
1.937 nsec,-2.704 fV
1.942 nsec,-3.671 fV
1.947 nsec,-4.985 fV
1.952 nsec,-6.947 fV
1.957 nsec,-9.028 fV
1.962 nsec,-10.60 fV
1.967 nsec,-11.78 fV
1.972 nsec,-13.40 fV
1.977 nsec,-14.82 fV
1.982 nsec,-15.50 fV
1.987 nsec,-15.68 fV
1.992 nsec,-15.62 fV
1.997 nsec,-15.45 fV
2.002 nsec,-15.29 fV
2.007 nsec,-15.33 fV
2.012 nsec,-15.66 fV
2.017 nsec,-15.48 fV
2.022 nsec,-14.73 fV
2.027 nsec,-14.17 fV
2.032 nsec,-13.85 fV
2.037 nsec,-13.46 fV
2.042 nsec,-12.83 fV
2.047 nsec,-12.10 fV
2.052 nsec,-10.83 fV
2.057 nsec,-9.144 fV
2.062 nsec,-7.744 fV
2.067 nsec,-6.507 fV
2.072 nsec,-5.262 fV
2.077 nsec,-3.892 fV
2.082 nsec,-1.891 fV
2.087 nsec,232.4 aV
2.092 nsec,1.834 fV
2.097 nsec,2.724 fV
2.102 nsec,3.436 fV
2.107 nsec,4.476 fV
2.112 nsec,5.316 fV
2.117 nsec,5.655 fV
2.122 nsec,5.875 fV
2.127 nsec,6.206 fV
2.132 nsec,6.444 fV
2.137 nsec,6.447 fV
2.142 nsec,6.368 fV
2.147 nsec,6.489 fV
2.152 nsec,6.757 fV
2.157 nsec,6.901 fV
2.162 nsec,6.648 fV
2.167 nsec,6.393 fV
2.172 nsec,6.060 fV
2.177 nsec,5.635 fV
2.182 nsec,5.285 fV
