"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,180.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,-82.875
2.854 GHz,-75.964
2.854 GHz,97.125
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,82.875
2.854 GHz,0.000
2.854 GHz,75.964
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-63.435
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,-75.964
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.855 GHz,0.000
2.855 GHz,75.964
2.855 GHz,<invalid>
2.855 GHz,-75.964
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-82.875
2.855 GHz,-75.964
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,82.875
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,75.964
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-75.964
2.855 GHz,<invalid>
2.855 GHz,97.125
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,104.036
2.855 GHz,104.036
2.855 GHz,-82.875
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-82.875
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-69.444
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-90.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,90.000
2.855 GHz,0.000
2.855 GHz,-75.964
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,75.964
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,75.964
2.855 GHz,-57.995
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,93.576
2.855 GHz,0.000
2.855 GHz,90.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-82.875
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-63.435
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,-90.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,-69.444
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,90.000
2.856 GHz,0.000
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,104.036
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,<invalid>
2.856 GHz,<invalid>
2.856 GHz,0.000
2.856 GHz,-82.875
2.856 GHz,0.000
