"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.086 GHz,-53.375
1.086 GHz,-53.389
1.087 GHz,-53.402
1.087 GHz,-53.416
1.087 GHz,-53.430
1.087 GHz,-53.444
1.088 GHz,-53.458
1.088 GHz,-53.471
1.088 GHz,-53.485
1.089 GHz,-53.499
1.089 GHz,-53.513
1.089 GHz,-53.526
1.089 GHz,-53.540
1.090 GHz,-53.554
1.090 GHz,-53.568
1.090 GHz,-53.580
1.091 GHz,-53.593
1.091 GHz,-53.606
1.091 GHz,-53.618
1.091 GHz,-53.631
1.092 GHz,-53.644
1.092 GHz,-53.656
1.092 GHz,-53.669
1.093 GHz,-53.682
1.093 GHz,-53.694
1.093 GHz,-53.707
1.093 GHz,-53.720
1.094 GHz,-53.732
1.094 GHz,-53.745
1.094 GHz,-53.757
1.095 GHz,-53.770
1.095 GHz,-53.783
1.095 GHz,-53.795
1.095 GHz,-53.808
1.096 GHz,-53.821
1.096 GHz,-53.833
1.096 GHz,-53.846
1.096 GHz,-53.859
1.097 GHz,-53.871
1.097 GHz,-53.884
1.097 GHz,-53.897
1.098 GHz,-53.909
1.098 GHz,-53.922
1.098 GHz,-53.935
1.098 GHz,-53.947
1.099 GHz,-53.960
1.099 GHz,-53.972
1.099 GHz,-53.985
1.100 GHz,-53.998
1.100 GHz,-54.010
1.100 GHz,-54.023
1.100 GHz,-54.034
1.101 GHz,-54.046
1.101 GHz,-54.058
1.101 GHz,-54.069
1.102 GHz,-54.081
1.102 GHz,-54.093
1.102 GHz,-54.104
1.102 GHz,-54.116
1.103 GHz,-54.128
1.103 GHz,-54.139
1.103 GHz,-54.151
1.103 GHz,-54.163
1.104 GHz,-54.174
1.104 GHz,-54.186
1.104 GHz,-54.198
1.105 GHz,-54.209
1.105 GHz,-54.221
1.105 GHz,-54.233
1.105 GHz,-54.244
1.106 GHz,-54.256
1.106 GHz,-54.268
1.106 GHz,-54.279
1.107 GHz,-54.291
1.107 GHz,-54.303
1.107 GHz,-54.314
1.107 GHz,-54.326
1.108 GHz,-54.338
1.108 GHz,-54.349
1.108 GHz,-54.361
1.109 GHz,-54.373
1.109 GHz,-54.384
1.109 GHz,-54.396
1.109 GHz,-54.407
1.110 GHz,-54.419
1.110 GHz,-54.431
1.110 GHz,-54.442
1.111 GHz,-54.453
1.111 GHz,-54.464
1.111 GHz,-54.475
1.111 GHz,-54.486
1.112 GHz,-54.497
1.112 GHz,-54.508
1.112 GHz,-54.519
1.113 GHz,-54.530
1.113 GHz,-54.541
1.113 GHz,-54.552
1.113 GHz,-54.563
1.114 GHz,-54.574
1.114 GHz,-54.585
1.114 GHz,-54.596
1.114 GHz,-54.607
1.115 GHz,-54.618
1.115 GHz,-54.629
1.115 GHz,-54.640
1.116 GHz,-54.651
1.116 GHz,-54.662
1.116 GHz,-54.673
1.116 GHz,-54.684
1.117 GHz,-54.695
1.117 GHz,-54.706
1.117 GHz,-54.717
1.118 GHz,-54.728
1.118 GHz,-54.739
1.118 GHz,-54.750
1.118 GHz,-54.761
1.119 GHz,-54.773
1.119 GHz,-54.784
1.119 GHz,-54.795
1.120 GHz,-54.806
1.120 GHz,-54.817
1.120 GHz,-54.829
1.120 GHz,-54.845
1.121 GHz,-54.860
1.121 GHz,-54.876
1.121 GHz,-54.891
1.121 GHz,-54.907
1.122 GHz,-54.922
1.122 GHz,-54.938
1.122 GHz,-54.953
1.123 GHz,-54.969
1.123 GHz,-54.985
1.123 GHz,-55.000
1.123 GHz,-55.016
1.124 GHz,-55.031
1.124 GHz,-55.047
1.124 GHz,-55.062
1.125 GHz,-55.078
1.125 GHz,-55.093
1.125 GHz,-55.109
1.125 GHz,-55.124
1.126 GHz,-55.140
1.126 GHz,-55.155
1.126 GHz,-55.171
1.127 GHz,-55.187
1.127 GHz,-55.202
1.127 GHz,-55.218
1.127 GHz,-55.233
1.128 GHz,-55.249
1.128 GHz,-55.264
1.128 GHz,-55.280
1.129 GHz,-55.295
1.129 GHz,-55.311
1.129 GHz,-55.326
1.129 GHz,-55.342
1.130 GHz,-55.357
1.130 GHz,-55.373
1.130 GHz,-55.387
1.131 GHz,-55.400
1.131 GHz,-55.413
1.131 GHz,-55.426
1.131 GHz,-55.439
1.132 GHz,-55.452
1.132 GHz,-55.466
1.132 GHz,-55.479
1.132 GHz,-55.492
1.133 GHz,-55.505
1.133 GHz,-55.518
1.133 GHz,-55.531
1.134 GHz,-55.545
1.134 GHz,-55.558
1.134 GHz,-55.571
1.134 GHz,-55.584
1.135 GHz,-55.597
1.135 GHz,-55.610
1.135 GHz,-55.624
1.136 GHz,-55.637
1.136 GHz,-55.650
1.136 GHz,-55.663
1.136 GHz,-55.676
1.137 GHz,-55.689
1.137 GHz,-55.703
1.137 GHz,-55.716
1.138 GHz,-55.729
1.138 GHz,-55.742
1.138 GHz,-55.755
1.138 GHz,-55.768
1.139 GHz,-55.782
1.139 GHz,-55.795
1.139 GHz,-55.808
1.139 GHz,-55.821
1.140 GHz,-55.834
1.140 GHz,-55.847
1.140 GHz,-55.859
1.141 GHz,-55.871
1.141 GHz,-55.882
1.141 GHz,-55.894
1.141 GHz,-55.906
1.142 GHz,-55.918
1.142 GHz,-55.930
1.142 GHz,-55.941
1.143 GHz,-55.953
1.143 GHz,-55.965
1.143 GHz,-55.977
1.143 GHz,-55.989
1.144 GHz,-56.000
1.144 GHz,-56.012
1.144 GHz,-56.024
1.145 GHz,-56.036
