"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.154 GHz,-56.133
1.154 GHz,-56.147
1.154 GHz,-56.162
1.154 GHz,-56.176
1.155 GHz,-56.190
1.155 GHz,-56.204
1.155 GHz,-56.219
1.156 GHz,-56.233
1.156 GHz,-56.247
1.156 GHz,-56.262
1.156 GHz,-56.276
1.157 GHz,-56.290
1.157 GHz,-56.305
1.157 GHz,-56.319
1.157 GHz,-56.333
1.158 GHz,-56.348
1.158 GHz,-56.362
1.158 GHz,-56.376
1.159 GHz,-56.390
1.159 GHz,-56.405
1.159 GHz,-56.419
1.159 GHz,-56.433
1.160 GHz,-56.448
1.160 GHz,-56.462
1.160 GHz,-56.476
1.161 GHz,-56.491
1.161 GHz,-56.505
1.161 GHz,-56.519
1.161 GHz,-56.534
1.162 GHz,-56.548
1.162 GHz,-56.563
1.162 GHz,-56.577
1.163 GHz,-56.591
1.163 GHz,-56.606
1.163 GHz,-56.620
1.163 GHz,-56.635
1.164 GHz,-56.649
1.164 GHz,-56.663
1.164 GHz,-56.678
1.165 GHz,-56.692
1.165 GHz,-56.707
1.165 GHz,-56.721
1.165 GHz,-56.735
1.166 GHz,-56.750
1.166 GHz,-56.764
1.166 GHz,-56.778
1.167 GHz,-56.793
1.167 GHz,-56.807
1.167 GHz,-56.822
1.167 GHz,-56.836
1.168 GHz,-56.850
1.168 GHz,-56.865
1.168 GHz,-56.879
1.168 GHz,-56.894
1.169 GHz,-56.908
1.169 GHz,-56.922
1.169 GHz,-56.937
1.170 GHz,-56.951
1.170 GHz,-56.965
1.170 GHz,-56.980
1.170 GHz,-56.994
1.171 GHz,-57.008
1.171 GHz,-57.022
1.171 GHz,-57.037
1.172 GHz,-57.051
1.172 GHz,-57.065
1.172 GHz,-57.079
1.172 GHz,-57.093
1.173 GHz,-57.107
1.173 GHz,-57.122
1.173 GHz,-57.136
1.174 GHz,-57.150
1.174 GHz,-57.164
1.174 GHz,-57.178
1.174 GHz,-57.193
1.175 GHz,-57.207
1.175 GHz,-57.221
1.175 GHz,-57.235
1.175 GHz,-57.249
1.176 GHz,-57.264
1.176 GHz,-57.278
1.176 GHz,-57.292
1.177 GHz,-57.306
1.177 GHz,-57.320
1.177 GHz,-57.335
1.177 GHz,-57.349
1.178 GHz,-57.363
1.178 GHz,-57.377
