"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [204031]
Matrix Size : scalar
Type : Real"
1.707 nsec,-4.877 fV
1.712 nsec,-2.796 fV
1.717 nsec,-384.9 aV
1.722 nsec,1.883 fV
1.727 nsec,4.273 fV
1.732 nsec,6.628 fV
1.737 nsec,7.898 fV
1.742 nsec,8.886 fV
1.747 nsec,10.71 fV
1.752 nsec,12.49 fV
1.757 nsec,14.07 fV
1.762 nsec,16.30 fV
1.767 nsec,18.88 fV
1.772 nsec,20.76 fV
1.777 nsec,22.09 fV
1.782 nsec,23.52 fV
1.787 nsec,24.45 fV
1.792 nsec,25.00 fV
1.797 nsec,25.26 fV
1.802 nsec,24.89 fV
1.807 nsec,23.94 fV
1.812 nsec,23.25 fV
1.817 nsec,22.94 fV
1.822 nsec,22.03 fV
1.827 nsec,20.04 fV
1.832 nsec,17.64 fV
1.837 nsec,15.44 fV
1.842 nsec,13.06 fV
1.847 nsec,10.65 fV
1.852 nsec,9.314 fV
1.857 nsec,7.284 fV
1.862 nsec,3.776 fV
1.867 nsec,742.6 aV
1.872 nsec,-1.313 fV
1.877 nsec,-3.145 fV
1.882 nsec,-4.597 fV
1.887 nsec,-5.498 fV
1.892 nsec,-6.286 fV
1.897 nsec,-6.817 fV
1.902 nsec,-6.812 fV
1.907 nsec,-7.078 fV
1.912 nsec,-7.535 fV
1.917 nsec,-7.504 fV
1.922 nsec,-7.721 fV
1.927 nsec,-8.521 fV
1.932 nsec,-9.080 fV
1.937 nsec,-9.126 fV
1.942 nsec,-9.662 fV
1.947 nsec,-10.38 fV
1.952 nsec,-10.16 fV
1.957 nsec,-9.266 fV
1.962 nsec,-8.389 fV
1.967 nsec,-7.241 fV
1.972 nsec,-5.707 fV
1.977 nsec,-4.729 fV
1.982 nsec,-4.988 fV
1.987 nsec,-5.446 fV
1.992 nsec,-4.549 fV
1.997 nsec,-3.001 fV
2.002 nsec,-1.825 fV
2.007 nsec,-926.7 aV
2.012 nsec,88.97 aV
2.017 nsec,1.140 fV
2.022 nsec,1.723 fV
2.027 nsec,2.336 fV
2.032 nsec,3.661 fV
2.037 nsec,4.890 fV
2.042 nsec,5.247 fV
2.047 nsec,5.107 fV
2.052 nsec,5.071 fV
2.057 nsec,5.260 fV
2.062 nsec,6.044 fV
2.067 nsec,7.559 fV
2.072 nsec,8.327 fV
2.077 nsec,7.673 fV
2.082 nsec,6.692 fV
2.087 nsec,6.027 fV
2.092 nsec,5.340 fV
2.097 nsec,4.525 fV
2.102 nsec,3.744 fV
2.107 nsec,2.017 fV
2.112 nsec,185.7 aV
2.117 nsec,-107.1 aV
2.122 nsec,352.7 aV
2.127 nsec,-85.22 aV
2.132 nsec,-1.157 fV
2.137 nsec,-1.416 fV
2.142 nsec,-1.546 fV
2.147 nsec,-1.535 fV
2.152 nsec,-299.8 aV
2.157 nsec,752.7 aV
2.162 nsec,1.357 fV
2.167 nsec,2.056 fV
2.172 nsec,2.615 fV
2.177 nsec,2.860 fV
2.182 nsec,2.636 fV
2.187 nsec,2.900 fV
2.192 nsec,3.841 fV
2.197 nsec,3.960 fV
2.202 nsec,2.256 fV
2.207 nsec,-638.2 aV
2.212 nsec,-2.655 fV
2.217 nsec,-3.501 fV
2.222 nsec,-4.306 fV
2.227 nsec,-5.886 fV
2.232 nsec,-7.329 fV
2.237 nsec,-7.909 fV
2.242 nsec,-8.358 fV
2.247 nsec,-9.824 fV
2.252 nsec,-11.77 fV
2.257 nsec,-12.13 fV
2.262 nsec,-11.57 fV
2.267 nsec,-11.61 fV
2.272 nsec,-12.66 fV
2.277 nsec,-14.64 fV
2.282 nsec,-16.03 fV
2.287 nsec,-16.44 fV
2.292 nsec,-16.66 fV
2.297 nsec,-17.23 fV
2.302 nsec,-17.88 fV
2.307 nsec,-17.77 fV
2.312 nsec,-16.68 fV
2.317 nsec,-15.88 fV
2.322 nsec,-15.26 fV
2.327 nsec,-13.27 fV
2.332 nsec,-10.06 fV
2.337 nsec,-7.430 fV
2.342 nsec,-4.698 fV
2.347 nsec,-959.4 aV
2.352 nsec,2.877 fV
2.357 nsec,6.108 fV
2.362 nsec,9.362 fV
2.367 nsec,12.92 fV
2.372 nsec,16.41 fV
2.377 nsec,19.62 fV
2.382 nsec,22.12 fV
2.387 nsec,24.32 fV
2.392 nsec,26.71 fV
2.397 nsec,28.37 fV
2.401 nsec,29.13 fV
2.406 nsec,28.86 fV
2.411 nsec,27.97 fV
2.416 nsec,27.84 fV
2.421 nsec,27.93 fV
2.426 nsec,27.78 fV
2.431 nsec,27.32 fV
2.436 nsec,26.30 fV
2.441 nsec,24.11 fV
2.446 nsec,21.81 fV
2.451 nsec,20.72 fV
2.456 nsec,19.99 fV
2.461 nsec,18.09 fV
2.466 nsec,15.42 fV
2.471 nsec,13.25 fV
2.476 nsec,11.12 fV
2.481 nsec,8.790 fV
2.486 nsec,6.339 fV
