"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.853 GHz,0.000
2.853 GHz,-85.533
2.853 GHz,0.000
2.853 GHz,0.000
2.853 GHz,-0.891
2.853 GHz,0.000
2.853 GHz,0.000
2.853 GHz,2.639
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,-0.895
2.853 GHz,0.000
2.853 GHz,-85.533
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,-0.895
2.853 GHz,0.000
2.853 GHz,3.511
2.853 GHz,0.000
2.853 GHz,-0.895
2.853 GHz,0.000
2.853 GHz,-0.448
2.853 GHz,0.000
2.853 GHz,0.000
2.853 GHz,<invalid>
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,0.000
2.853 GHz,81.119
2.853 GHz,0.000
2.853 GHz,-86.424
2.853 GHz,<invalid>
2.853 GHz,0.000
2.853 GHz,82.875
2.853 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-85.533
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-5.304
2.854 GHz,-86.424
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-0.444
2.854 GHz,-85.533
2.854 GHz,-81.119
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-88.657
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-86.424
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-5.304
2.854 GHz,-0.891
2.854 GHz,<invalid>
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.895
2.854 GHz,0.000
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,-86.424
2.854 GHz,-86.424
2.854 GHz,86.424
2.854 GHz,<invalid>
2.854 GHz,<invalid>
2.854 GHz,-87.316
2.854 GHz,0.000
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,-3.525
2.854 GHz,-5.304
2.854 GHz,-86.424
2.854 GHz,0.000
2.854 GHz,83.758
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-81.119
2.854 GHz,0.000
2.854 GHz,0.298
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,-4.859
2.854 GHz,-85.978
2.854 GHz,0.000
2.854 GHz,-90.000
2.854 GHz,-0.224
2.854 GHz,0.000
2.854 GHz,85.088
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-90.000
2.854 GHz,0.000
2.854 GHz,-0.448
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-86.870
2.854 GHz,<invalid>
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-0.222
2.854 GHz,3.961
2.854 GHz,0.000
2.854 GHz,-5.750
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,84.644
2.854 GHz,0.000
2.854 GHz,-85.533
2.854 GHz,80.683
2.854 GHz,0.448
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-80.683
2.854 GHz,-0.448
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,87.540
2.854 GHz,-0.448
2.854 GHz,-81.119
2.854 GHz,85.088
2.854 GHz,0.000
2.854 GHz,-0.889
2.854 GHz,0.000
2.854 GHz,-0.448
2.854 GHz,-0.448
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,-85.978
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.854 GHz,0.000
2.855 GHz,-81.119
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-85.978
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,-80.683
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-0.895
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-0.444
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,90.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-0.448
2.855 GHz,2.006
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-0.448
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,90.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,85.088
2.855 GHz,0.000
2.855 GHz,-0.895
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,85.088
2.855 GHz,0.000
2.855 GHz,81.119
2.855 GHz,84.201
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-84.644
2.855 GHz,0.000
2.855 GHz,-5.750
2.855 GHz,84.644
2.855 GHz,<invalid>
2.855 GHz,85.088
2.855 GHz,0.000
2.855 GHz,-1.343
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-80.683
2.855 GHz,0.000
2.855 GHz,-4.405
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,-85.533
2.855 GHz,-4.414
2.855 GHz,0.000
2.855 GHz,84.644
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,<invalid>
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,-90.000
2.855 GHz,-81.119
2.855 GHz,0.000
2.855 GHz,-0.889
2.855 GHz,-0.891
2.855 GHz,<invalid>
2.855 GHz,-85.978
2.855 GHz,-0.668
2.855 GHz,0.000
2.855 GHz,0.000
2.855 GHz,0.000
