"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.100,30.00 psec,-9.468 mV
3.100,33.00 psec,-8.580 mV
3.100,36.00 psec,-7.754 mV
3.100,39.00 psec,-6.958 mV
3.100,42.00 psec,-6.155 mV
3.100,45.00 psec,-5.306 mV
3.100,48.00 psec,-4.372 mV
3.100,51.00 psec,-3.312 mV
3.100,54.00 psec,-2.092 mV
3.100,57.00 psec,-677.7 uV
3.100,60.00 psec,962.9 uV
3.100,63.00 psec,2.858 mV
3.100,66.00 psec,5.036 mV
3.100,69.00 psec,7.523 mV
3.100,72.00 psec,10.35 mV
3.100,75.00 psec,13.54 mV
3.100,78.00 psec,17.13 mV
3.100,81.00 psec,21.14 mV
3.100,84.00 psec,25.60 mV
3.100,87.00 psec,30.52 mV
3.100,90.00 psec,35.90 mV
3.100,93.00 psec,41.72 mV
3.100,96.00 psec,47.95 mV
3.100,99.00 psec,54.53 mV
3.100,102.0 psec,61.35 mV
3.100,105.0 psec,68.31 mV
3.100,108.0 psec,75.25 mV
3.100,111.0 psec,82.00 mV
3.100,114.0 psec,88.40 mV
3.100,117.0 psec,94.25 mV
3.100,120.0 psec,99.36 mV
3.100,123.0 psec,103.6 mV
3.100,126.0 psec,106.7 mV
3.100,129.0 psec,108.7 mV
3.100,132.0 psec,109.4 mV
3.100,135.0 psec,108.9 mV
3.100,138.0 psec,107.0 mV
3.100,141.0 psec,103.8 mV
3.100,144.0 psec,99.46 mV
3.100,147.0 psec,94.01 mV
3.100,150.0 psec,87.59 mV
3.100,153.0 psec,80.36 mV
3.100,156.0 psec,72.49 mV
3.100,159.0 psec,64.14 mV
3.100,162.0 psec,55.48 mV
3.100,165.0 psec,46.70 mV
3.100,168.0 psec,37.95 mV
3.100,171.0 psec,29.38 mV
3.100,174.0 psec,21.13 mV
3.100,177.0 psec,13.34 mV
3.100,180.0 psec,6.099 mV
3.100,183.0 psec,-499.5 uV
3.100,186.0 psec,-6.389 mV
3.100,189.0 psec,-11.53 mV
3.100,192.0 psec,-15.89 mV
3.100,195.0 psec,-19.49 mV
3.100,198.0 psec,-22.34 mV
3.100,201.0 psec,-24.50 mV
3.100,204.0 psec,-26.05 mV
