"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
1.372 nsec,1.895 mV
1.377 nsec,1.938 mV
1.382 nsec,1.982 mV
1.387 nsec,2.026 mV
1.392 nsec,2.071 mV
1.397 nsec,2.116 mV
1.402 nsec,2.161 mV
1.407 nsec,2.206 mV
1.412 nsec,2.252 mV
1.417 nsec,2.298 mV
1.422 nsec,2.344 mV
1.427 nsec,2.390 mV
1.432 nsec,2.437 mV
1.437 nsec,2.484 mV
1.442 nsec,2.531 mV
1.447 nsec,2.578 mV
1.452 nsec,2.625 mV
1.457 nsec,2.673 mV
1.462 nsec,2.720 mV
1.467 nsec,2.767 mV
1.472 nsec,2.815 mV
1.477 nsec,2.862 mV
1.482 nsec,2.909 mV
1.487 nsec,2.956 mV
1.492 nsec,3.002 mV
1.497 nsec,3.049 mV
1.502 nsec,3.095 mV
1.507 nsec,3.141 mV
1.512 nsec,3.186 mV
1.517 nsec,3.232 mV
1.522 nsec,3.277 mV
1.527 nsec,3.321 mV
1.532 nsec,3.365 mV
1.537 nsec,3.408 mV
1.542 nsec,3.452 mV
1.547 nsec,3.494 mV
1.552 nsec,3.536 mV
1.557 nsec,3.578 mV
1.562 nsec,3.619 mV
1.567 nsec,3.660 mV
1.572 nsec,3.700 mV
1.577 nsec,3.739 mV
1.582 nsec,3.778 mV
1.587 nsec,3.816 mV
1.592 nsec,3.853 mV
1.597 nsec,3.890 mV
1.602 nsec,3.926 mV
1.607 nsec,3.962 mV
1.612 nsec,3.996 mV
1.617 nsec,4.031 mV
1.622 nsec,4.064 mV
1.627 nsec,4.097 mV
1.632 nsec,4.129 mV
1.637 nsec,4.160 mV
1.642 nsec,4.191 mV
1.647 nsec,4.221 mV
1.652 nsec,4.250 mV
1.657 nsec,4.279 mV
1.662 nsec,4.307 mV
1.667 nsec,4.334 mV
1.672 nsec,4.361 mV
1.677 nsec,4.387 mV
1.682 nsec,4.413 mV
1.687 nsec,4.437 mV
1.692 nsec,4.461 mV
1.697 nsec,4.485 mV
1.702 nsec,4.508 mV
1.707 nsec,4.530 mV
1.712 nsec,4.551 mV
1.717 nsec,4.572 mV
1.722 nsec,4.592 mV
1.727 nsec,4.611 mV
1.732 nsec,4.629 mV
1.737 nsec,4.647 mV
1.742 nsec,4.664 mV
1.747 nsec,4.681 mV
1.752 nsec,4.696 mV
1.757 nsec,4.711 mV
1.762 nsec,4.725 mV
1.767 nsec,4.739 mV
1.772 nsec,4.751 mV
1.777 nsec,4.763 mV
1.782 nsec,4.774 mV
1.787 nsec,4.784 mV
1.792 nsec,4.793 mV
1.797 nsec,4.802 mV
1.802 nsec,4.809 mV
1.807 nsec,4.816 mV
1.812 nsec,4.822 mV
1.817 nsec,4.827 mV
1.822 nsec,4.830 mV
1.827 nsec,4.833 mV
1.832 nsec,4.835 mV
1.837 nsec,4.836 mV
1.842 nsec,4.836 mV
1.847 nsec,4.835 mV
1.852 nsec,4.833 mV
1.857 nsec,4.830 mV
1.862 nsec,4.825 mV
1.867 nsec,4.820 mV
1.872 nsec,4.814 mV
1.877 nsec,4.806 mV
1.882 nsec,4.798 mV
1.887 nsec,4.789 mV
1.892 nsec,4.778 mV
1.897 nsec,4.766 mV
1.902 nsec,4.754 mV
1.907 nsec,4.740 mV
1.912 nsec,4.725 mV
1.917 nsec,4.710 mV
1.922 nsec,4.693 mV
1.927 nsec,4.675 mV
1.932 nsec,4.656 mV
1.937 nsec,4.636 mV
