"freq
References : ['dB(Z(1,1))','dB(Z(2,2))']
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(1,1))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real","dB(Z(2,2))
References : []
Dependency : [freq]
Num. Points : [198001]
Matrix Size : scalar
Type : Real"
122.5 MHz,60.496,60.639
122.5 MHz,60.492,60.635
122.5 MHz,60.489,60.632
122.6 MHz,60.485,60.628
122.7 MHz,60.482,60.625
122.7 MHz,60.478,60.621
122.8 MHz,60.475,60.618
122.8 MHz,60.471,60.614
122.8 MHz,60.468,60.611
122.9 MHz,60.464,60.607
123.0 MHz,60.461,60.604
123.0 MHz,60.457,60.600
123.0 MHz,60.453,60.597
123.1 MHz,60.450,60.593
123.2 MHz,60.446,60.589
123.2 MHz,60.443,60.586
123.2 MHz,60.439,60.582
123.3 MHz,60.436,60.579
123.3 MHz,60.432,60.575
123.4 MHz,60.429,60.572
123.5 MHz,60.425,60.568
123.5 MHz,60.422,60.565
123.5 MHz,60.418,60.561
123.6 MHz,60.415,60.558
123.7 MHz,60.411,60.554
123.7 MHz,60.408,60.551
123.8 MHz,60.404,60.547
123.8 MHz,60.401,60.544
123.8 MHz,60.397,60.540
123.9 MHz,60.394,60.537
124.0 MHz,60.390,60.533
124.0 MHz,60.387,60.530
124.0 MHz,60.383,60.526
124.1 MHz,60.380,60.523
124.2 MHz,60.376,60.519
124.2 MHz,60.373,60.516
124.2 MHz,60.369,60.512
124.3 MHz,60.366,60.509
124.3 MHz,60.362,60.505
124.4 MHz,60.359,60.502
124.5 MHz,60.355,60.498
124.5 MHz,60.352,60.495
124.5 MHz,60.348,60.491
124.6 MHz,60.345,60.488
124.7 MHz,60.341,60.484
124.7 MHz,60.338,60.481
124.8 MHz,60.334,60.477
124.8 MHz,60.331,60.474
124.8 MHz,60.327,60.470
124.9 MHz,60.324,60.467
125.0 MHz,60.320,60.463
125.0 MHz,60.317,60.460
125.0 MHz,60.313,60.456
125.1 MHz,60.310,60.453
125.2 MHz,60.306,60.449
125.2 MHz,60.303,60.446
125.2 MHz,60.299,60.443
125.3 MHz,60.296,60.439
125.3 MHz,60.292,60.436
125.4 MHz,60.289,60.432
125.5 MHz,60.286,60.429
125.5 MHz,60.282,60.425
125.5 MHz,60.279,60.422
125.6 MHz,60.275,60.418
125.7 MHz,60.272,60.415
125.7 MHz,60.268,60.411
125.8 MHz,60.265,60.408
125.8 MHz,60.261,60.404
125.8 MHz,60.258,60.401
125.9 MHz,60.254,60.398
126.0 MHz,60.251,60.394
126.0 MHz,60.247,60.391
126.0 MHz,60.244,60.387
126.1 MHz,60.241,60.384
126.2 MHz,60.237,60.380
126.2 MHz,60.234,60.377
126.2 MHz,60.230,60.373
126.3 MHz,60.227,60.370
126.3 MHz,60.223,60.367
126.4 MHz,60.220,60.363
126.5 MHz,60.217,60.360
126.5 MHz,60.213,60.356
126.5 MHz,60.210,60.353
126.6 MHz,60.206,60.349
126.7 MHz,60.203,60.346
126.7 MHz,60.199,60.343
126.8 MHz,60.196,60.339
126.8 MHz,60.192,60.336
126.8 MHz,60.189,60.332
126.9 MHz,60.186,60.329
127.0 MHz,60.182,60.325
127.0 MHz,60.179,60.322
127.0 MHz,60.175,60.319
127.1 MHz,60.172,60.315
127.2 MHz,60.169,60.312
127.2 MHz,60.165,60.308
127.2 MHz,60.162,60.305
127.3 MHz,60.158,60.301
127.3 MHz,60.155,60.298
127.4 MHz,60.151,60.295
127.5 MHz,60.148,60.291
127.5 MHz,60.145,60.288
127.5 MHz,60.141,60.284
127.6 MHz,60.138,60.281
127.7 MHz,60.134,60.278
127.7 MHz,60.131,60.274
127.8 MHz,60.128,60.271
127.8 MHz,60.124,60.267
127.8 MHz,60.121,60.264
127.9 MHz,60.117,60.261
128.0 MHz,60.114,60.257
128.0 MHz,60.111,60.254
128.1 MHz,60.107,60.250
128.1 MHz,60.104,60.247
128.2 MHz,60.100,60.244
128.2 MHz,60.097,60.240
128.2 MHz,60.094,60.237
128.3 MHz,60.090,60.233
128.3 MHz,60.087,60.230
128.4 MHz,60.083,60.227
128.4 MHz,60.080,60.223
128.5 MHz,60.077,60.220
128.6 MHz,60.073,60.217
128.6 MHz,60.070,60.213
128.7 MHz,60.067,60.210
128.7 MHz,60.063,60.206
128.8 MHz,60.060,60.203
128.8 MHz,60.056,60.200
128.8 MHz,60.053,60.196
128.9 MHz,60.050,60.193
128.9 MHz,60.046,60.190
129.0 MHz,60.043,60.186
129.1 MHz,60.040,60.183
129.1 MHz,60.036,60.179
129.2 MHz,60.033,60.176
129.2 MHz,60.029,60.173
129.2 MHz,60.026,60.169
129.3 MHz,60.023,60.166
129.3 MHz,60.019,60.163
129.4 MHz,60.016,60.159
129.4 MHz,60.013,60.156
129.5 MHz,60.009,60.153
129.6 MHz,60.006,60.149
129.6 MHz,60.003,60.146
