"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.102 GHz,-141.374
1.102 GHz,-141.348
1.102 GHz,-141.322
1.102 GHz,-141.295
1.103 GHz,-141.269
1.103 GHz,-141.242
1.103 GHz,-141.215
1.103 GHz,-141.189
1.104 GHz,-141.162
1.104 GHz,-141.135
1.104 GHz,-141.108
1.105 GHz,-141.081
1.105 GHz,-141.055
1.105 GHz,-141.028
1.105 GHz,-141.001
1.106 GHz,-140.974
1.106 GHz,-140.948
1.106 GHz,-140.921
1.107 GHz,-140.895
1.107 GHz,-140.868
1.107 GHz,-140.842
1.107 GHz,-140.815
1.108 GHz,-140.789
1.108 GHz,-140.763
1.108 GHz,-140.737
1.109 GHz,-140.712
1.109 GHz,-140.686
1.109 GHz,-140.660
1.109 GHz,-140.635
1.110 GHz,-140.610
1.110 GHz,-140.585
1.110 GHz,-140.560
1.111 GHz,-140.535
1.111 GHz,-140.510
1.111 GHz,-140.485
1.111 GHz,-140.459
1.112 GHz,-140.434
1.112 GHz,-140.409
1.112 GHz,-140.383
1.113 GHz,-140.358
1.113 GHz,-140.332
1.113 GHz,-140.307
1.113 GHz,-140.282
1.114 GHz,-140.256
1.114 GHz,-140.231
1.114 GHz,-140.206
1.114 GHz,-140.181
1.115 GHz,-140.156
1.115 GHz,-140.132
1.115 GHz,-140.107
1.116 GHz,-140.083
1.116 GHz,-140.059
1.116 GHz,-140.035
1.116 GHz,-140.012
1.117 GHz,-139.988
1.117 GHz,-139.965
1.117 GHz,-139.943
1.118 GHz,-139.920
1.118 GHz,-139.898
1.118 GHz,-139.877
1.118 GHz,-139.855
1.119 GHz,-139.834
1.119 GHz,-139.814
1.119 GHz,-139.794
1.120 GHz,-139.774
1.120 GHz,-139.755
1.120 GHz,-139.737
1.120 GHz,-139.719
1.121 GHz,-139.702
1.121 GHz,-139.685
1.121 GHz,-139.669
1.121 GHz,-139.654
1.122 GHz,-139.639
1.122 GHz,-139.624
1.122 GHz,-139.610
1.123 GHz,-139.597
1.123 GHz,-139.583
1.123 GHz,-139.571
1.123 GHz,-139.558
1.124 GHz,-139.546
1.124 GHz,-139.534
1.124 GHz,-139.522
1.125 GHz,-139.510
1.125 GHz,-139.499
1.125 GHz,-139.487
1.125 GHz,-139.476
1.126 GHz,-139.464
1.126 GHz,-139.453
1.126 GHz,-139.442
1.127 GHz,-139.430
1.127 GHz,-139.419
1.127 GHz,-139.407
1.127 GHz,-139.395
1.128 GHz,-139.383
1.128 GHz,-139.370
1.128 GHz,-139.358
1.129 GHz,-139.345
1.129 GHz,-139.331
1.129 GHz,-139.317
1.129 GHz,-139.303
1.130 GHz,-139.289
1.130 GHz,-139.273
1.130 GHz,-139.258
1.131 GHz,-139.242
1.131 GHz,-139.226
1.131 GHz,-139.210
1.131 GHz,-139.194
1.132 GHz,-139.177
1.132 GHz,-139.160
1.132 GHz,-139.144
1.132 GHz,-139.127
1.133 GHz,-139.109
1.133 GHz,-139.092
1.133 GHz,-139.075
1.134 GHz,-139.057
1.134 GHz,-139.040
1.134 GHz,-139.022
1.134 GHz,-139.004
1.135 GHz,-138.986
1.135 GHz,-138.968
1.135 GHz,-138.950
1.136 GHz,-138.932
1.136 GHz,-138.914
1.136 GHz,-138.895
1.136 GHz,-138.877
1.137 GHz,-138.858
1.137 GHz,-138.840
1.137 GHz,-138.821
1.138 GHz,-138.803
1.138 GHz,-138.784
1.138 GHz,-138.766
1.138 GHz,-138.747
1.139 GHz,-138.728
1.139 GHz,-138.710
1.139 GHz,-138.691
1.139 GHz,-138.673
1.140 GHz,-138.654
1.140 GHz,-138.635
1.140 GHz,-138.617
1.141 GHz,-138.598
1.141 GHz,-138.578
1.141 GHz,-138.558
1.141 GHz,-138.539
1.142 GHz,-138.519
1.142 GHz,-138.498
1.142 GHz,-138.478
1.143 GHz,-138.457
1.143 GHz,-138.437
1.143 GHz,-138.416
1.143 GHz,-138.395
1.144 GHz,-138.374
1.144 GHz,-138.353
1.144 GHz,-138.332
1.145 GHz,-138.312
1.145 GHz,-138.291
1.145 GHz,-138.270
1.145 GHz,-138.250
1.146 GHz,-138.229
1.146 GHz,-138.209
1.146 GHz,-138.189
1.147 GHz,-138.169
1.147 GHz,-138.149
1.147 GHz,-138.130
1.147 GHz,-138.111
1.148 GHz,-138.092
1.148 GHz,-138.074
1.148 GHz,-138.055
1.149 GHz,-138.038
1.149 GHz,-138.020
1.149 GHz,-138.003
1.149 GHz,-137.987
1.150 GHz,-137.971
1.150 GHz,-137.955
1.150 GHz,-137.940
1.150 GHz,-137.926
1.151 GHz,-137.912
1.151 GHz,-137.898
1.151 GHz,-137.885
1.152 GHz,-137.872
1.152 GHz,-137.859
1.152 GHz,-137.847
1.152 GHz,-137.836
1.153 GHz,-137.824
