"freq
References : ['phase(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(Gc)
References : []
Dependency : [freq]
Num. Points : [501]
Matrix Size : scalar
Type : Real"
3.017 GHz,0.000
3.017 GHz,45.000
3.018 GHz,-12.529
3.018 GHz,116.565
3.018 GHz,146.310
3.019 GHz,-4.399
3.019 GHz,-116.565
3.020 GHz,63.435
3.021 GHz,41.634
3.021 GHz,90.000
3.022 GHz,11.310
3.022 GHz,90.000
3.022 GHz,45.000
3.023 GHz,<invalid>
3.023 GHz,45.000
3.024 GHz,0.000
3.025 GHz,81.870
3.025 GHz,0.000
3.026 GHz,0.000
3.026 GHz,-45.000
3.026 GHz,0.000
3.027 GHz,0.000
3.027 GHz,0.000
3.028 GHz,14.036
3.029 GHz,<invalid>
3.029 GHz,0.000
3.030 GHz,-90.000
3.030 GHz,0.000
3.030 GHz,153.435
3.031 GHz,0.000
3.031 GHz,-26.565
3.032 GHz,-16.260
3.033 GHz,18.435
3.033 GHz,0.000
3.034 GHz,45.000
3.034 GHz,0.000
3.034 GHz,45.000
3.035 GHz,-45.000
3.035 GHz,-45.000
3.036 GHz,-7.125
3.037 GHz,31.329
3.037 GHz,-90.000
3.038 GHz,-21.501
3.038 GHz,17.650
3.038 GHz,-8.130
3.039 GHz,63.435
3.039 GHz,-71.565
3.040 GHz,0.000
3.041 GHz,-45.000
3.041 GHz,-26.565
3.042 GHz,-90.000
3.042 GHz,180.000
3.042 GHz,22.620
3.043 GHz,8.130
3.043 GHz,-33.690
3.044 GHz,104.036
3.045 GHz,-34.778
3.045 GHz,<invalid>
3.046 GHz,104.036
3.046 GHz,-18.435
3.046 GHz,78.690
3.047 GHz,-150.255
3.047 GHz,-45.000
3.048 GHz,26.565
3.049 GHz,45.000
3.049 GHz,60.945
3.050 GHz,-59.036
3.050 GHz,-42.274
3.050 GHz,-45.000
3.051 GHz,-35.455
3.051 GHz,-11.310
3.052 GHz,-23.199
3.053 GHz,153.435
3.053 GHz,-59.036
3.054 GHz,90.000
3.054 GHz,10.491
3.054 GHz,91.116
3.055 GHz,-29.745
3.055 GHz,-53.130
3.056 GHz,-19.440
3.057 GHz,-25.849
3.057 GHz,131.186
3.058 GHz,125.538
3.058 GHz,-56.310
3.058 GHz,-45.000
3.059 GHz,51.340
3.059 GHz,-91.507
3.060 GHz,-40.601
3.061 GHz,155.056
3.061 GHz,6.870
3.062 GHz,1.548
3.062 GHz,127.405
3.062 GHz,4.399
3.063 GHz,-55.491
3.063 GHz,4.399
3.064 GHz,-5.925
3.064 GHz,70.346
3.065 GHz,13.610
3.066 GHz,95.194
3.066 GHz,-12.529
3.067 GHz,62.354
3.067 GHz,97.125
3.067 GHz,138.180
3.068 GHz,13.438
3.068 GHz,33.690
3.069 GHz,-78.857
3.070 GHz,-21.801
3.070 GHz,-170.910
3.071 GHz,119.745
3.071 GHz,-146.310
3.071 GHz,88.091
3.072 GHz,-19.983
3.072 GHz,36.870
3.073 GHz,108.759
3.074 GHz,-5.856
3.074 GHz,-14.452
