"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
1.372 nsec,959.4 uV
1.377 nsec,978.5 uV
1.382 nsec,997.8 uV
1.387 nsec,1.017 mV
1.392 nsec,1.037 mV
1.397 nsec,1.057 mV
1.402 nsec,1.077 mV
1.407 nsec,1.097 mV
1.412 nsec,1.117 mV
1.417 nsec,1.138 mV
1.422 nsec,1.159 mV
1.427 nsec,1.180 mV
1.432 nsec,1.201 mV
1.437 nsec,1.222 mV
1.442 nsec,1.243 mV
1.447 nsec,1.265 mV
1.452 nsec,1.286 mV
1.457 nsec,1.308 mV
1.462 nsec,1.329 mV
1.467 nsec,1.351 mV
1.472 nsec,1.373 mV
1.477 nsec,1.395 mV
1.482 nsec,1.416 mV
1.487 nsec,1.438 mV
1.492 nsec,1.459 mV
1.497 nsec,1.480 mV
1.502 nsec,1.502 mV
1.507 nsec,1.523 mV
1.512 nsec,1.543 mV
1.517 nsec,1.564 mV
1.522 nsec,1.584 mV
1.527 nsec,1.605 mV
1.532 nsec,1.625 mV
1.537 nsec,1.644 mV
1.542 nsec,1.664 mV
1.547 nsec,1.683 mV
1.552 nsec,1.702 mV
1.557 nsec,1.721 mV
1.562 nsec,1.739 mV
1.567 nsec,1.758 mV
1.572 nsec,1.775 mV
1.577 nsec,1.793 mV
1.582 nsec,1.810 mV
1.587 nsec,1.827 mV
1.592 nsec,1.844 mV
1.597 nsec,1.860 mV
1.602 nsec,1.876 mV
1.607 nsec,1.891 mV
1.612 nsec,1.907 mV
1.617 nsec,1.921 mV
1.622 nsec,1.936 mV
1.627 nsec,1.950 mV
1.632 nsec,1.964 mV
1.637 nsec,1.978 mV
1.642 nsec,1.991 mV
1.647 nsec,2.004 mV
1.652 nsec,2.017 mV
1.657 nsec,2.029 mV
1.662 nsec,2.042 mV
1.667 nsec,2.054 mV
1.672 nsec,2.065 mV
1.677 nsec,2.077 mV
1.682 nsec,2.088 mV
1.687 nsec,2.099 mV
1.692 nsec,2.109 mV
1.697 nsec,2.120 mV
1.702 nsec,2.130 mV
1.707 nsec,2.140 mV
1.712 nsec,2.150 mV
1.717 nsec,2.159 mV
1.722 nsec,2.168 mV
1.727 nsec,2.177 mV
1.732 nsec,2.186 mV
1.737 nsec,2.194 mV
1.742 nsec,2.203 mV
1.747 nsec,2.211 mV
1.752 nsec,2.218 mV
1.757 nsec,2.226 mV
1.762 nsec,2.233 mV
1.767 nsec,2.240 mV
1.772 nsec,2.246 mV
1.777 nsec,2.252 mV
1.782 nsec,2.258 mV
1.787 nsec,2.264 mV
1.792 nsec,2.269 mV
1.797 nsec,2.274 mV
1.802 nsec,2.278 mV
1.807 nsec,2.283 mV
1.812 nsec,2.286 mV
1.817 nsec,2.290 mV
1.822 nsec,2.292 mV
1.827 nsec,2.295 mV
1.832 nsec,2.297 mV
1.837 nsec,2.299 mV
1.842 nsec,2.300 mV
1.847 nsec,2.300 mV
1.852 nsec,2.300 mV
1.857 nsec,2.300 mV
1.862 nsec,2.299 mV
1.867 nsec,2.298 mV
1.872 nsec,2.296 mV
1.877 nsec,2.294 mV
1.882 nsec,2.291 mV
1.887 nsec,2.287 mV
1.892 nsec,2.284 mV
1.897 nsec,2.279 mV
1.902 nsec,2.274 mV
1.907 nsec,2.269 mV
1.912 nsec,2.263 mV
1.917 nsec,2.256 mV
1.922 nsec,2.249 mV
1.927 nsec,2.242 mV
1.932 nsec,2.234 mV
1.937 nsec,2.225 mV
1.942 nsec,2.216 mV
1.947 nsec,2.207 mV
1.952 nsec,2.197 mV
1.957 nsec,2.187 mV
1.962 nsec,2.176 mV
1.967 nsec,2.165 mV
1.972 nsec,2.153 mV
1.977 nsec,2.141 mV
1.982 nsec,2.129 mV
1.987 nsec,2.117 mV
1.992 nsec,2.104 mV
1.997 nsec,2.091 mV
2.002 nsec,2.077 mV
2.007 nsec,2.063 mV
2.012 nsec,2.049 mV
2.017 nsec,2.035 mV
2.022 nsec,2.020 mV
2.027 nsec,2.006 mV
2.032 nsec,1.991 mV
2.037 nsec,1.975 mV
2.042 nsec,1.960 mV
2.047 nsec,1.945 mV
2.052 nsec,1.929 mV
2.057 nsec,1.913 mV
2.062 nsec,1.897 mV
2.067 nsec,1.881 mV
2.072 nsec,1.865 mV
2.077 nsec,1.848 mV
2.082 nsec,1.832 mV
2.087 nsec,1.815 mV
2.092 nsec,1.798 mV
2.097 nsec,1.781 mV
2.102 nsec,1.764 mV
2.107 nsec,1.747 mV
2.112 nsec,1.730 mV
2.117 nsec,1.713 mV
2.122 nsec,1.695 mV
2.127 nsec,1.678 mV
2.132 nsec,1.660 mV
2.137 nsec,1.642 mV
2.142 nsec,1.624 mV
2.147 nsec,1.606 mV
2.152 nsec,1.588 mV
2.157 nsec,1.570 mV
2.162 nsec,1.552 mV
2.167 nsec,1.533 mV
2.172 nsec,1.514 mV
2.177 nsec,1.495 mV
2.182 nsec,1.476 mV
2.187 nsec,1.457 mV
2.192 nsec,1.438 mV
2.197 nsec,1.418 mV
2.202 nsec,1.399 mV
2.207 nsec,1.379 mV
2.212 nsec,1.359 mV
2.217 nsec,1.339 mV
2.222 nsec,1.319 mV
2.227 nsec,1.298 mV
2.232 nsec,1.278 mV
2.237 nsec,1.257 mV
2.242 nsec,1.237 mV
2.247 nsec,1.216 mV
2.252 nsec,1.195 mV
2.257 nsec,1.174 mV
2.262 nsec,1.153 mV
2.267 nsec,1.132 mV
2.272 nsec,1.111 mV
2.277 nsec,1.090 mV
2.282 nsec,1.069 mV
2.287 nsec,1.048 mV
2.292 nsec,1.026 mV
2.297 nsec,1.005 mV
2.302 nsec,984.4 uV
2.307 nsec,963.5 uV
2.312 nsec,942.7 uV
2.317 nsec,922.0 uV
2.322 nsec,901.5 uV
2.327 nsec,881.1 uV
2.332 nsec,860.9 uV
2.337 nsec,840.8 uV
2.342 nsec,821.0 uV
2.347 nsec,801.4 uV
2.352 nsec,782.1 uV
2.357 nsec,763.0 uV
2.362 nsec,744.2 uV
2.367 nsec,725.7 uV
2.372 nsec,707.5 uV
2.377 nsec,689.6 uV
2.382 nsec,672.0 uV
2.387 nsec,654.8 uV
2.392 nsec,638.0 uV
2.397 nsec,621.5 uV
2.401 nsec,605.3 uV
2.406 nsec,589.6 uV
2.411 nsec,574.2 uV
2.416 nsec,559.2 uV
2.421 nsec,544.6 uV
2.426 nsec,530.4 uV
2.431 nsec,516.6 uV
2.436 nsec,503.1 uV
2.441 nsec,490.1 uV
2.446 nsec,477.5 uV
2.451 nsec,465.2 uV
2.456 nsec,453.4 uV
2.461 nsec,441.9 uV
2.466 nsec,430.8 uV
2.471 nsec,420.0 uV
2.476 nsec,409.6 uV
2.481 nsec,399.6 uV
2.486 nsec,389.9 uV
2.491 nsec,380.6 uV
2.496 nsec,371.6 uV
2.501 nsec,363.0 uV
2.506 nsec,354.7 uV
2.511 nsec,346.7 uV
2.516 nsec,339.0 uV
2.521 nsec,331.6 uV
2.526 nsec,324.5 uV
2.531 nsec,317.7 uV
2.536 nsec,311.2 uV
2.541 nsec,305.0 uV
2.546 nsec,299.1 uV
2.551 nsec,293.4 uV
2.556 nsec,288.1 uV
2.561 nsec,283.0 uV
2.566 nsec,278.2 uV
2.571 nsec,273.6 uV
2.576 nsec,269.4 uV
2.581 nsec,265.5 uV
2.586 nsec,261.8 uV
2.591 nsec,258.4 uV
2.596 nsec,255.4 uV
2.601 nsec,252.6 uV
2.606 nsec,250.2 uV
2.611 nsec,248.0 uV
2.616 nsec,246.2 uV
2.621 nsec,244.8 uV
2.626 nsec,243.6 uV
2.631 nsec,242.9 uV
2.636 nsec,242.4 uV
2.641 nsec,242.4 uV
2.646 nsec,242.7 uV
2.651 nsec,243.5 uV
2.656 nsec,244.6 uV
2.661 nsec,246.2 uV
2.666 nsec,248.1 uV
2.671 nsec,250.5 uV
2.676 nsec,253.4 uV
2.681 nsec,256.7 uV
2.686 nsec,260.4 uV
2.691 nsec,264.6 uV
2.696 nsec,269.3 uV
2.701 nsec,274.4 uV
2.706 nsec,280.1 uV
2.711 nsec,286.2 uV
2.716 nsec,292.7 uV
2.721 nsec,299.8 uV
2.726 nsec,307.4 uV
2.731 nsec,315.4 uV
2.736 nsec,323.9 uV
2.741 nsec,333.0 uV
2.746 nsec,342.4 uV
2.751 nsec,352.4 uV
2.756 nsec,362.8 uV
2.761 nsec,373.7 uV
2.766 nsec,385.0 uV
2.771 nsec,396.7 uV
2.776 nsec,408.9 uV
2.781 nsec,421.5 uV
2.786 nsec,434.5 uV
2.791 nsec,447.9 uV
2.796 nsec,461.7 uV
2.801 nsec,475.8 uV
2.806 nsec,490.3 uV
2.811 nsec,505.1 uV
2.816 nsec,520.2 uV
2.821 nsec,535.6 uV
2.826 nsec,551.3 uV
2.831 nsec,567.3 uV
2.836 nsec,583.5 uV
2.841 nsec,599.9 uV
2.846 nsec,616.6 uV
2.851 nsec,633.5 uV
2.856 nsec,650.5 uV
2.861 nsec,667.7 uV
2.866 nsec,685.1 uV
2.871 nsec,702.6 uV
2.876 nsec,720.2 uV
2.881 nsec,737.9 uV
2.886 nsec,755.8 uV
2.891 nsec,773.7 uV
2.896 nsec,791.7 uV
2.901 nsec,809.8 uV
2.906 nsec,828.0 uV
2.911 nsec,846.2 uV
2.916 nsec,864.4 uV
2.921 nsec,882.7 uV
2.926 nsec,901.1 uV
2.931 nsec,919.4 uV
2.936 nsec,937.8 uV
2.941 nsec,956.3 uV
2.946 nsec,974.7 uV
2.951 nsec,993.2 uV
2.956 nsec,1.012 mV
2.961 nsec,1.030 mV
2.966 nsec,1.049 mV
2.971 nsec,1.067 mV
2.976 nsec,1.086 mV
2.981 nsec,1.105 mV
2.986 nsec,1.123 mV
2.991 nsec,1.142 mV
2.996 nsec,1.161 mV
3.001 nsec,1.180 mV
3.006 nsec,1.199 mV
3.011 nsec,1.218 mV
3.016 nsec,1.236 mV
3.021 nsec,1.256 mV
3.026 nsec,1.275 mV
3.031 nsec,1.294 mV
3.036 nsec,1.313 mV
3.041 nsec,1.332 mV
3.046 nsec,1.351 mV
3.051 nsec,1.371 mV
3.056 nsec,1.390 mV
3.061 nsec,1.409 mV
3.066 nsec,1.429 mV
3.071 nsec,1.448 mV
3.076 nsec,1.468 mV
3.081 nsec,1.487 mV
3.086 nsec,1.507 mV
3.091 nsec,1.526 mV
3.096 nsec,1.546 mV
3.101 nsec,1.565 mV
3.106 nsec,1.584 mV
3.111 nsec,1.604 mV
3.116 nsec,1.623 mV
3.121 nsec,1.642 mV
3.126 nsec,1.661 mV
3.131 nsec,1.680 mV
3.136 nsec,1.699 mV
3.141 nsec,1.718 mV
3.146 nsec,1.736 mV
3.151 nsec,1.754 mV
3.156 nsec,1.773 mV
3.161 nsec,1.790 mV
3.166 nsec,1.808 mV
3.171 nsec,1.825 mV
3.176 nsec,1.843 mV
3.181 nsec,1.859 mV
3.186 nsec,1.876 mV
3.191 nsec,1.892 mV
3.196 nsec,1.908 mV
3.201 nsec,1.924 mV
3.206 nsec,1.939 mV
3.211 nsec,1.954 mV
3.216 nsec,1.968 mV
3.221 nsec,1.982 mV
3.226 nsec,1.996 mV
3.231 nsec,2.009 mV
3.236 nsec,2.022 mV
3.241 nsec,2.034 mV
3.246 nsec,2.046 mV
3.251 nsec,2.057 mV
3.256 nsec,2.068 mV
3.261 nsec,2.079 mV
3.266 nsec,2.089 mV
3.271 nsec,2.099 mV
3.276 nsec,2.108 mV
3.281 nsec,2.117 mV
3.286 nsec,2.125 mV
3.291 nsec,2.133 mV
3.296 nsec,2.141 mV
3.301 nsec,2.148 mV
3.306 nsec,2.155 mV
3.311 nsec,2.161 mV
3.316 nsec,2.167 mV
3.321 nsec,2.172 mV
3.326 nsec,2.177 mV
3.331 nsec,2.182 mV
3.336 nsec,2.186 mV
3.341 nsec,2.190 mV
3.346 nsec,2.194 mV
3.351 nsec,2.197 mV
3.356 nsec,2.200 mV
3.361 nsec,2.203 mV
3.366 nsec,2.205 mV
3.371 nsec,2.207 mV
3.376 nsec,2.209 mV
3.381 nsec,2.210 mV
3.386 nsec,2.211 mV
3.391 nsec,2.212 mV
3.396 nsec,2.212 mV
