"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.000,646.0 psec,-93.11 mV
5.000,649.0 psec,-91.40 mV
5.000,652.0 psec,-89.07 mV
5.000,655.0 psec,-86.20 mV
5.000,658.0 psec,-82.90 mV
5.000,661.0 psec,-79.27 mV
5.000,664.0 psec,-75.42 mV
5.000,667.0 psec,-71.47 mV
5.000,670.0 psec,-67.54 mV
5.000,673.0 psec,-63.71 mV
5.100,0.0000 sec,-65.50 mV
5.100,3.005 psec,-61.73 mV
5.100,6.009 psec,-58.25 mV
5.100,9.014 psec,-55.10 mV
5.100,12.02 psec,-52.33 mV
5.100,15.02 psec,-49.96 mV
5.100,18.03 psec,-48.00 mV
5.100,21.03 psec,-46.43 mV
5.100,24.04 psec,-45.24 mV
5.100,27.04 psec,-44.38 mV
5.100,30.05 psec,-43.82 mV
5.100,33.05 psec,-43.48 mV
5.100,36.06 psec,-43.32 mV
5.100,39.06 psec,-43.26 mV
5.100,42.07 psec,-43.21 mV
5.100,45.07 psec,-43.10 mV
5.100,48.07 psec,-42.84 mV
5.100,51.08 psec,-42.35 mV
5.100,54.08 psec,-41.53 mV
5.100,57.09 psec,-40.32 mV
5.100,60.09 psec,-38.63 mV
5.100,63.10 psec,-36.39 mV
5.100,66.10 psec,-33.54 mV
5.100,69.11 psec,-30.03 mV
5.100,72.11 psec,-25.79 mV
5.100,75.12 psec,-20.80 mV
5.100,78.12 psec,-15.04 mV
5.100,81.13 psec,-8.475 mV
5.100,84.13 psec,-1.114 mV
5.100,87.14 psec,7.035 mV
5.100,90.14 psec,15.95 mV
5.100,93.14 psec,25.58 mV
5.100,96.15 psec,35.87 mV
5.100,99.15 psec,46.75 mV
5.100,102.2 psec,58.09 mV
5.100,105.2 psec,69.79 mV
5.100,108.2 psec,81.69 mV
5.100,111.2 psec,93.61 mV
5.100,114.2 psec,105.4 mV
5.100,117.2 psec,116.8 mV
5.100,120.2 psec,127.7 mV
5.100,123.2 psec,137.7 mV
5.100,126.2 psec,146.8 mV
5.100,129.2 psec,154.7 mV
5.100,132.2 psec,161.3 mV
5.100,135.2 psec,166.3 mV
5.100,138.2 psec,169.8 mV
5.100,141.2 psec,171.5 mV
5.100,144.2 psec,171.5 mV
5.100,147.2 psec,169.8 mV
5.100,150.2 psec,166.4 mV
5.100,153.2 psec,161.4 mV
5.100,156.2 psec,154.8 mV
5.100,159.2 psec,147.0 mV
5.100,162.3 psec,137.9 mV
5.100,165.3 psec,127.8 mV
5.100,168.3 psec,116.9 mV
5.100,171.3 psec,105.5 mV
5.100,174.3 psec,93.61 mV
5.100,177.3 psec,81.57 mV
5.100,180.3 psec,69.54 mV
5.100,183.3 psec,57.73 mV
5.100,186.3 psec,46.30 mV
5.100,189.3 psec,35.40 mV
5.100,192.3 psec,25.17 mV
5.100,195.3 psec,15.72 mV
5.100,198.3 psec,7.138 mV
5.100,201.3 psec,-529.1 uV
5.100,204.3 psec,-7.250 mV
5.100,207.3 psec,-13.03 mV
5.100,210.3 psec,-17.89 mV
5.100,213.3 psec,-21.89 mV
5.100,216.3 psec,-25.10 mV
5.100,219.3 psec,-27.63 mV
5.100,222.3 psec,-29.57 mV
5.100,225.3 psec,-31.05 mV
5.100,228.4 psec,-32.19 mV
5.100,231.4 psec,-33.11 mV
5.100,234.4 psec,-33.94 mV
5.100,237.4 psec,-34.79 mV
5.100,240.4 psec,-35.75 mV
5.100,243.4 psec,-36.91 mV
5.100,246.4 psec,-38.35 mV
5.100,249.4 psec,-40.12 mV
5.100,252.4 psec,-42.26 mV
5.100,255.4 psec,-44.79 mV
5.100,258.4 psec,-47.72 mV
5.100,261.4 psec,-51.03 mV
5.100,264.4 psec,-54.69 mV
5.100,267.4 psec,-58.67 mV
5.100,270.4 psec,-62.88 mV
5.100,273.4 psec,-67.25 mV
5.100,276.4 psec,-71.70 mV
5.100,279.4 psec,-76.11 mV
5.100,282.4 psec,-80.38 mV
5.100,285.4 psec,-84.40 mV
5.100,288.4 psec,-88.04 mV
5.100,291.5 psec,-91.20 mV
5.100,294.5 psec,-93.79 mV
5.100,297.5 psec,-95.71 mV
5.100,300.5 psec,-96.92 mV
5.100,303.5 psec,-97.37 mV
5.100,306.5 psec,-97.06 mV
5.100,309.5 psec,-95.99 mV
5.100,312.5 psec,-94.22 mV
5.100,315.5 psec,-91.80 mV
5.100,318.5 psec,-88.82 mV
5.100,321.5 psec,-85.39 mV
5.100,324.5 psec,-81.63 mV
5.100,327.5 psec,-77.64 mV
5.100,330.5 psec,-73.55 mV
5.100,333.5 psec,-69.46 mV
5.100,336.5 psec,-65.50 mV
5.100,339.5 psec,-61.73 mV
5.100,342.5 psec,-58.25 mV
5.100,345.5 psec,-55.10 mV
5.100,348.5 psec,-52.33 mV
5.100,351.5 psec,-49.96 mV
5.100,354.5 psec,-48.00 mV
5.100,357.6 psec,-46.43 mV
5.100,360.6 psec,-45.24 mV
5.100,363.6 psec,-44.38 mV
5.100,366.6 psec,-43.82 mV
5.100,369.6 psec,-43.48 mV
5.100,372.6 psec,-43.32 mV
5.100,375.6 psec,-43.26 mV
5.100,378.6 psec,-43.21 mV
5.100,381.6 psec,-43.10 mV
5.100,384.6 psec,-42.84 mV
5.100,387.6 psec,-42.35 mV
5.100,390.6 psec,-41.53 mV
5.100,393.6 psec,-40.32 mV
5.100,396.6 psec,-38.63 mV
5.100,399.6 psec,-36.39 mV
5.100,402.6 psec,-33.54 mV
5.100,405.6 psec,-30.03 mV
5.100,408.6 psec,-25.79 mV
5.100,411.6 psec,-20.80 mV
5.100,414.6 psec,-15.04 mV
5.100,417.6 psec,-8.475 mV
5.100,420.7 psec,-1.114 mV
5.100,423.7 psec,7.035 mV
5.100,426.7 psec,15.95 mV
5.100,429.7 psec,25.58 mV
5.100,432.7 psec,35.87 mV
5.100,435.7 psec,46.75 mV
